# LET[MeV*cm2/mg]  Phi[part/cm2/s]  P_recovery
1.608946e+01  2.395027e+04  0.000000
1.608946e+01  3.562248e+04  0.000000
1.608946e+01  5.298317e+04  0.000000
1.608946e+01  7.880463e+04  0.000000
1.608946e+01  1.172102e+05  0.000000
1.608946e+01  1.743329e+05  0.000000
1.608946e+01  2.592944e+05  0.000000
1.608946e+01  3.856620e+05  0.000000
1.608946e+01  5.736153e+05  0.000000
1.608946e+01  8.531679e+05  0.000000
1.608946e+01  1.268961e+06  0.000000
1.608946e+01  1.887392e+06  0.000000
1.608946e+01  2.807216e+06  0.000000
1.608946e+01  4.175319e+06  0.000000
1.608946e+01  6.210169e+06  0.000000
1.608946e+01  9.236709e+06  0.000000
1.608946e+01  1.373824e+07  0.000000
1.608946e+01  2.043360e+07  0.000000
1.608946e+01  3.039195e+07  0.000000
1.608946e+01  4.520354e+07  0.000000
1.608946e+01  6.723358e+07  0.000000
1.608946e+01  1.000000e+08  0.000000

1.931467e+01  1.000000e+03  0.679438
1.931467e+01  1.487352e+03  0.235104
1.931467e+01  2.212216e+03  0.018558
1.931467e+01  3.290345e+03  0.000126
1.931467e+01  4.893901e+03  0.000000
1.931467e+01  7.278954e+03  0.000000
1.931467e+01  1.082637e+04  0.000000
1.931467e+01  1.610262e+04  0.000000
1.931467e+01  2.395027e+04  0.000000
1.931467e+01  3.562248e+04  0.000000
1.931467e+01  5.298317e+04  0.000000
1.931467e+01  7.880463e+04  0.000000
1.931467e+01  1.172102e+05  0.000000
1.931467e+01  1.743329e+05  0.000000
1.931467e+01  2.592944e+05  0.000000
1.931467e+01  3.856620e+05  0.000000
1.931467e+01  5.736153e+05  0.000000
1.931467e+01  8.531679e+05  0.000000
1.931467e+01  1.268961e+06  0.000000
1.931467e+01  1.887392e+06  0.000000
1.931467e+01  2.807216e+06  0.000000
1.931467e+01  4.175319e+06  0.000000
1.931467e+01  6.210169e+06  0.000000
1.931467e+01  9.236709e+06  0.000000
1.931467e+01  1.373824e+07  0.000000
1.931467e+01  2.043360e+07  0.000000
1.931467e+01  3.039195e+07  0.000000
1.931467e+01  4.520354e+07  0.000000
1.931467e+01  6.723358e+07  0.000000
1.931467e+01  1.000000e+08  0.000000

2.318639e+01  1.000000e+03  0.679358
2.318639e+01  1.487352e+03  0.235026
2.318639e+01  2.212216e+03  0.018545
2.318639e+01  3.290345e+03  0.000126
2.318639e+01  4.893901e+03  0.000000
2.318639e+01  7.278954e+03  0.000000
2.318639e+01  1.082637e+04  0.000000
2.318639e+01  1.610262e+04  0.000000
2.318639e+01  2.395027e+04  0.000000
2.318639e+01  3.562248e+04  0.000000
2.318639e+01  5.298317e+04  0.000000
2.318639e+01  7.880463e+04  0.000000
2.318639e+01  1.172102e+05  0.000000
2.318639e+01  1.743329e+05  0.000000
2.318639e+01  2.592944e+05  0.000000
2.318639e+01  3.856620e+05  0.000000
2.318639e+01  5.736153e+05  0.000000
2.318639e+01  8.531679e+05  0.000000
2.318639e+01  1.268961e+06  0.000000
2.318639e+01  1.887392e+06  0.000000
2.318639e+01  2.807216e+06  0.000000
2.318639e+01  4.175319e+06  0.000000
2.318639e+01  6.210169e+06  0.000000
2.318639e+01  9.236709e+06  0.000000
